#,128KB,512KB,1MB
bzip,2.7132,2.7132,2.7132
crafty,1.2182,1.2577,1.2598
eon,1.4033,1.4039,1.4039
equake,1.7995,1.7995,1.7995
galgel,1.4795,1.4804,1.4806
gcc,1.1182,1.1612,1.1618
mesa,1.906,1.906,1.906
mcf,2.0215,2.0238,2.0239
swim,1.763,1.7632,1.7632
wupwise,2.1778,2.1778,2.1778
